序号,帖子标题,分类,置信度,关键词,作者
1834,这集吊带袜给我看出了跟gqux一样的老嗨感,动画/番剧,0.95,"小鬼当家, 吊带袜, gqux",是萝莉就能当妈妈
1835,(高达水)所以尼娅安到底几岁啊，既然是装jk那应该也是jk年龄吧,动画/番剧,0.95,"高达水, 尼娅安, 装jk",南野奏太
1836,[新闻资讯] FREEing 1/4 <海贼王> 娜美水着Ver.,手办/周边,0.95,"FREEing, 1/4比例, 娜美, 海贼王, 水着Ver.",hcahcsroR
1839,开始和结束，来的人都是你们三个,动画/番剧,0.95,灰姑娘,KumikoP1
1841,库巴姬的王冠被小智偷了是吧，玩挺大,游戏,0.95,"库巴姬, 小智, NGA",Just｜Monika
1842,[搬运][斗破苍穹]阅文集团你哪里请的这么素(微妙)的画师,游戏,0.95,"斗破苍穹, 阅文集团, 拼多多, 商品",艾琳丶多拉尔
1873,一拳第三季导演发声,动画/番剧,0.95,"一拳超人, 永居慎平, Manglobe, 3D技术, 2D动画",白日梦只在黑夜做
1875,[魔裁]希罗艾玛 安安诺亚 三人,动画/番剧,0.95,"希罗艾玛, 安安诺亚",Ouroboros╳
1876,[同人][Undertale][Jojo]Undertale:Special Passionate ...,游戏,0.95,"Undertale, Jojo的奇妙冒险, Flowey, 小花, 托丽尔",ser无法123
1907,[轻小说] 特甲少女 焱之精灵4+猋焱圣约1-5,轻小说,0.95,"特甲少女, 焱之精灵, 猋焱圣约",CLANNAD_古河渚
1910,[剧透讨论]凉宫春日海岛症候群这集，到底是否存在“真死”？,动画/番剧,0.95,"凉宫春日, 海岛症候群, 真死",SoyorinLove
1912,当看到激光炮光洁的目镜,动画/番剧,0.95,"海军, 激光炮, 目镜, 擦镜",间桐丽多_FATE
1913,[xp氵] 実演系音声跟剧情系音声你们更喜欢哪一种？,虚拟主播/VTuber,0.95,"音声, 实演系, 剧情系, 潭U, 空手狼",傍晚襲來的羅曼蒂克
1915,nico生放送看不了直播回放吗？,虚拟主播/VTuber,0.95,"nico, 直播回放, 录屏",桃玲音音
1917,[万物互联]如果UC高达的作战体系跟上了现实科幻水平(哪里有点不对的感觉),动画/番剧,0.95,"高达, MS, NT, 塞克谬, 脑波",米加粒子炮
1918,真是怎么看待拉克丝的？,动画/番剧,0.95,"拉克丝, 某某动画",牛牛福福
1919,[胡言乱语]宇宙乡巴佬这下还敢侵略地球吗,动画/番剧,0.95,"宇宙乡巴佬, 东风",暗黑邪拳王风雷
1920,原来瞧不起东吴是三国时期就有了的传统了,漫画,0.95,"三国志, 曹操, 刘备, 孙权, 曹董",KumikoP1
1921,春丽这样的肉腿X2，这不是无敌了,游戏,0.95,"春丽, 肉腿, 拳皇",Just｜Monika
1922,奈叶EXCEEDS第5话后半，菲特变身,动画/番剧,0.95,"奈叶EXCEEDS, 菲特, Detonation",fkh012345
1923,有什么养成系的漫画或者小说推荐吗,漫画,0.95,"魔族, 小女孩, 养大, 老婆, 神官",南桑、、
1924,磁吸毛巾,动画/番剧,0.95,"磁吸毛巾, 海贼王, 罗罗诺亚·索隆",即食型派蒙
1925,[加藤拓弐] 宠物机器人猎人/ペットロボハンター,动画/番剧,0.95,"加藤拓弐, 宠物机器人猎人, ペットロボハンター",永恒的王牌
1926,两种不同漫画风格的的身材,漫画,0.95,"漫画, 身材, 不同风格",Just｜Monika
1928,字幕讲怪话版本的奥特曼去哪下？,动画/番剧,0.95,"奥特曼, 高达Z, 卡缪, 字幕, 动画花园",雾雨魔力瞎
1929,在宝可梦世界送外卖、打螺丝、当保安应该配什么宝可梦？,游戏,0.95,"宝可梦, 洛托姆, 豪力, 家门犬",汉江明月身
1930,浴缸战神又发力了,虚拟主播/VTuber,0.95,"浴缸战神, れな子",我只负责活着
1932,机战y水魔剧情只到第九集,动画/番剧,0.95,"机动战士高达, 伊兰, 沙迪克, 风灵改, 地球魔女",霞天义流
1933,有没有大佬能帮我跑个指定动作的图啊,动画/番剧,0.95,"三角初华, 椎名立希, 变身动作, AI跑图",漆黑噤默
1909,[求助猴区人工智能]求帮忙找这张图的出处,漫画,0.95,"JK, 买套子, 本子",青泽SAMA
1906,[火影水]作为对宇智波佐助的塑造抢戏的恶劣性来说，鼬杀大蛇丸，准备别天神糊脸，主攻仙人兜那个更有毁灭...,动画/番剧,0.95,"火影忍者, 宇智波佐助, 鼬, 佩恩, 大蛇丸",薄伽丘的小黄书
1877,还有这种把正常四肢收起来，然后安个假的图吗，？,动画/番剧,0.95,"断肢, 假肢, mon_202509/01/-9lddQ2w-6iihZdT3cSm8-xc.webp",闪光猫头鹰哦
1904,忍姐触发了致命节奏！,动画/番剧,0.95,"火影忍者, 忍姐, 变装, 幽会, 喂食play",时崎夜架
1878,[新闻资讯] MegaHouse 怪兽年代记 <游戏王GX> 于贝尔,手办/周边,0.95,"MegaHouse, 怪兽年代记, 游戏王GX, 于贝尔, PVC&ABS",hcahcsroR
1879,寿屋大恶魔和大天使预定有点难绷,动画/番剧,0.95,"寿屋, 大恶魔, 大天使, 预定, 价格",harunafaye
1880,柿子和螃蟹一起吃是有毒的？那我们这边的“最恶劣的背叛”会不会是洛水为誓啊,动画/番剧,0.95,"洛水, 誓",Just｜Monika
1881,快来看《阴阳迴天》，坏女人还有反转继续新展开,动画/番剧,0.95,阴阳迴天,fkh012345
1884,日本的贵族是叫自己的孩子也用敬语吗,动画/番剧,0.95,"地狱老师, 妈妈, 敬语",doyun26
1885,。。。这吊带袜天使电视上能不能播啊！,动画/番剧,0.95,吊带袜天使,银翼的两仪之鸦
1886,游戏王各代女角色，大家更喜欢哪位啊,游戏,0.95,"游戏王, YGO, 卡卡西, 赛亚, 女角色",Just｜Monika
1887,搜图引擎被我雷普，强建的一刻,游戏,0.95,"galgame, steam, dota2, dotabuff, CG",薄荷口味奥利奥
1888,你们看番有没有比较偏门的雷点,动画/番剧,0.95,"火影, 鸣人, 影分身, ntr, 日式原谅",伦敦的守夜人
1889,BILIBILI漫画有什么值得看的作品吗？,漫画,0.95,"BILIBILI漫画, 腾讯动漫, 海贼王",岩砂土
1890,轨迹求助。界轨第一章黑芒街深处钓点有没有新鱼？,游戏,0.95,"轨迹, 黑芒街, 黎恩线, 金鲑, 钓点",不再妄想的猪
1893,脑洞学生会是我近期看的挺快乐的一部漫画了,漫画,0.95,脑洞学生会,天灵盖卡马路牙子上
1896,lain这动画变得如此热门，解说也有7百万播放,动画/番剧,0.95,"lain, 美少女",新世界唯心主义
1897,微联动氵 三人小队是不是各类作品的底层逻辑,动画/番剧,0.95,"GQUX, 龙族凯楚路, 第七班",xyz_official
1898,[投票氵]骑士最终N选三，哪个是最好用的,游戏,0.95,"骑士, N选三, 彩虹龙, 超越, 主宰",╭老船长﹎
1899,[美漫氵]比起狂笑大战珀佩图阿，绝对火猎的白绿火星人大战真的有意思,动画/番剧,0.95,"绝对火猎, 白绿火星人, 珀佩图阿",陨污血红
1900,[韩漫氵(非r)]《迷路小孩回来了》，看起来是个都市日常类,漫画,0.95,"迷路小孩回来了, Mia, 大学, 团建, 游戏",恋夢星灯
1901,要是开源模型能达到nano banana的水平，flj都可以原地失业了吧,动画/番剧,0.95,"开源模型, nano banana, 角色还原一致性, flj",sbnga_saki
1903,竞泳十六夜秋,动画/番剧,0.95,竞泳十六夜秋,丶夜鹰之梦丶
1816,魔兽之王是半年番还是季番？,动画/番剧,0.95,"魔兽之王, 番剧",牛牛福福
1815,[小道消息]暗杀教室新作剧场版动画《暗杀教室 大家的时间》制作决定,动画/番剧,0.95,"暗杀教室, 大家的时间, 片冈, 前原, 杀老师",SakaiShana
1814,38岁了  不想上班，当怪盗基德还有机会吗,动画/番剧,0.95,"怪盗基德, 博物馆",小神通奎多斯
1735,我等皆要死于妇人之手,漫画,0.95,"我等皆要死于妇人之手, 漫画",HuniePoppuppy
1737,魔兽兽人战斗力比战锤兽人高吗？,游戏,0.95,"魔兽世界, 兽人, 战锤, 兽人战斗力",Just｜Monika
1738,求推荐类似的,其他,0.95,"强行推屁股, 非自愿, 群p婊子, 黄毛帮",是萝莉就能当妈妈
1739,[咒术回战]乙骨和里香的本子算纯爱还是ntr,漫画,0.95,"咒术回战, 乙骨忧太, 里香, 真希, 本子",SCP5000
1740,周末去看怀玉篇剧场版！,动画/番剧,0.95,"怀玉篇, 剧场版",林远夏w
1741,一拳 king是不是确实很强,动画/番剧,0.95,"一拳法, 王道, 怪人协会, 口胡放波",税醒
1742,[紫薇仙人]这算%多少的gay,动画/番剧,0.95,"紫薇仙人, gay, 同人",李卫君offical
1743,[新闻资讯] SSR FIGURE 1/7 暗精灵舞娘 夏日,手办/周边,0.95,"SSR FIGURE, 1/7, 暗精灵舞娘, 夏日, lack",hcahcsroR
1744,关于柚子社新作在melonbooks线下购买的一些问题,漫画,0.95,"柚子社, 蜜瓜, 线下购买, 商品页面, 配送方法",彻夜丿未眠
1745,不是，你这是点我金克丝是吧？小心和你爆了,游戏,0.95,"金克丝, League of Legends (英雄联盟)",Just｜Monika
1746,抛砖引玉猴区gal大手进，有哪些有假小子当女主的gal？,动画/番剧,0.95,"gal, 假小子, 腰越真纪, 纯爱ロード, 加贺ヒカル",裘德和米拉
1749,对战锤30k荷鲁斯的塑造很失望啊。,游戏,0.95,"对战锤30k, 荷鲁斯, 铜",韩老魔航天尊
1751,突然想起来，即使在柯南十几年前没整那些女频烂活之前，身边的男生柯哀党也是绝大多数,动画/番剧,0.95,"柯南, 新兰党, 柯哀党, 青山, 剧场版",御坂1042
1752,把《无敌少侠》第一季看完了，这个战斗力有点飘忽不定啊。,动画/番剧,0.95,"无敌少侠, 全能侠, DA辛克莱尔, 万福玛利亚",Facehugger
1753,有没有gal女主是假小子王子系，然后遇到男主后雌堕,动画/番剧,0.95,"gal, 女主, 王子系, 雌堕, 男女通杀",三鸦
1754,[新闻资讯] SSR FIGURE 1/7 咖啡因酱 夏日,手办/周边,0.95,"咖啡因酱 夏日, SSR FIGURE, 1/7比例, lack, 布料",hcahcsroR
1755,暗杀教室全新规动画开始制作，明年上映,动画/番剧,0.95,"暗杀教室, 片冈, 前原, 杀老师",TelluriumHCl
1756,完整补完了真中合欢的故事,动画/番剧,0.95,真中合欢,高速下载
1757,如果游戏王动画最开始是做成卡图故事而不是原创角色打牌，会比现在更火还是路边一条,游戏,0.95,"游戏王, 决斗者, 卡面, TCG, 动画化",akkaaka
1759,吃绝户好像都是观众想骂作品时才发现有这剧情，有啥作者有真想吃绝户的操作吗？,动画/番剧,0.95,"吃绝户, 剧情安排, 无意识",希望自己是欧洲人
1736,咱们出了百式，那老美是不是该出玛拉塞了？,游戏,0.95,"百式, 玛拉塞",Vomiga1024
1734,[小报]《怪物弹珠 DEADVERSE RELOADED》主视觉图、STAFF公开 25年10月21...,动画/番剧,0.95,"怪物弹珠, DEADVERSE RELOADED, モンスターストライク, 稲留和美, 関崎高明",SakaiShana
1761,有啥好用的韩轻网站,漫画,0.95,"esj, r18, 全年龄, 哔哩轻小说",居家阿宅
1733,[数码宝贝]新兽——磁龙兽,游戏,0.95,"数码宝贝, 磁龙兽, 究极体, 岩龙型, 病毒种必杀技",恋叶梦境
1714,《魔都精兵的奴隶》第二季 2026年1月开播,动画/番剧,0.95,"魔都精兵的奴隶, S2",SakaiShana
1715,furry控的末日...,其他,0.95,"furry, 末日, 控",Just｜Monika
1716,dokidoki心跳文学社官方咖啡厅来了,轻小说,0.95,"dokidoki心跳文学社, 咖啡厅, 轻小说, 漫画",Just｜Monika
1717,有没有吧友知道这个像精灵是哪个漫画的,漫画,0.95,"精灵, 漫画",夜风物语
1718,合金装备世界未来还是很绝望的啊,游戏,0.95,"合金装备, 爱国者系统, 固蛇, 复仇崛起",oftc3121
1719,[新闻资讯] 幽默轰天配色,动画/番剧,0.95,"幽默轰天, 配色, mon_202509/04/jwQ2w-qf2K25T3cSs1-im.webp",顾林鸢
1720,jjxx新作能再续打宿傩的整活巅峰吗,动画/番剧,0.95,"jjxx, 打宿傩, 整活",牌之舌
1721,特别篇那种现实化死斗的情况下，可以当药属性天王吗,游戏,0.95,"药属性, 等级差距, 逆转, 背包格子, 一回合一次行动",即食型派蒙
1722,[破事水] 有什么角色让你感觉他受到的惩罚超过了他犯下的罪行？,动画/番剧,0.95,"角色, 惩罚, 犯下的罪行, 观众",邻居家的陌生人
1723,这就是机械飞升的好处啊(？,动画/番剧,0.95,"机械飞升, 机动战士高达",Just｜Monika
1724,话说日本这个限制改编原作者收益制度设立目的是什么来着,动画/番剧,0.95,无限列车,牌之舌
1725,最菜的影是谁,动画/番剧,0.95,"火影, 蝎, 大蛇丸, 鸣人, 扉间",鬼屎蛋
1726,话说如果我没有记错的话，数码宝贝三的后续广播剧里启人是不是失踪了来着,动画/番剧,0.95,"数码宝贝, 启人, 广播剧, 三",graysonkun2002
1727,鬼灭能直接完结感觉在日漫史上都算比较有魄力的了吧,动画/番剧,0.95,"鬼灭之刃, 上弦之夜, 无惨",兄弟同心
1728,fanbox绑定信用卡失败，显示绑定了其他账号,动画/番剧,0.95,"fanbox, 信用卡, 账号, 赞助",Rosmontis2
1729,芥见新作就是咒术后传啊,动画/番剧,0.95,"咒术回战, 乙骨子孙",无漏的伟健
1730,万代：体验宇宙巴比伦建国战争吧！,游戏,0.95,"万代, 巴比伦, 建国战争",麦林Mognum
1731,[新闻资讯] 角川 角川模型系列 《Re:从零开始的异世界生活》 爱蜜莉雅,手办/周边,0.95,"Re:从零开始的异世界生活, 艾米莉亚, KADOKAWA PLASTIC MODEL SERIES, 角川",hcahcsroR
1732,[小报]TV动画《怪物弹珠 DEADVERSE RELOADED》视觉图解禁，10月21日，全45局...,动画/番剧,0.95,"怪物弹珠 DEADVERSE RELOADED, MIXI, 大久保政雄, モンスターストライク, 稲留和美",hhhhhhttt
1760,这要是恐怖游戏的话多少要遭重了,游戏,0.95,"恐怖游戏, 吊桥",Respecolt
1762,[拼装]如果大青椒骨架我打九分的话，这个外甲我只能给五分,游戏,0.95,"MGSV: 全静默 (MGSd), 大青椒, 外甲, 骨架, 板件",法耶斯梅玛
1813,[破事水]又偶然翻到一个塞氏翻译法经典案例，笑不活了,轻小说,0.95,"塞氏翻译法, ない, 不爱",⑨⑨⑨⑨⑨⑨⑨⑨⑨⑨⑨
1787,[不存在的动画氵]2026新番《坠落少女在危机回旋楼梯》,动画/番剧,0.95,"坠落少女在危机回旋楼梯, 可数子, 京都动画, 数学危机, 爱琴海",博薇Winston
1789,卧槽涩疯了，已经开始期待老师的新作了,动画/番剧,0.95,"老师, 新作",Respecolt
1790,分享难绷一则,游戏,0.95,"弹丸论破, 奶龙",气刃迭代
1791,[恋人不行氵]真百番弹幕评论叫穷已成底层逻辑了属于是,动画/番剧,0.95,"真百番, 穷",不跟煞比置气
1793,jjxx新作会不会在下周发布,动画/番剧,0.95,"咒术回战, 动画",画堂书页
1795,龙是不是肾虚啊，拿个枪也流汗,动画/番剧,0.95,"龙, 枪, 流汗, 大炮",冰上的谢宝庆
1796,咒术新作，外星人有第三只眼，宿傩也有第三只眼，难道说,动画/番剧,0.95,"咒术回战, 宿傩, 外星人, 第三只眼",小火龙的小尾巴
1799,近未来战争作品思路真的需要更新了，攻防升级不只是全部,游戏,0.95,"近未来战争, 外挂, 网络电竞, AI编程, 透视",两脸懵逼的萌新
1801,芥见老师新作来了，乙骨死了，孙子孙女主角,漫画,0.95,"芥见老师, 乙骨, 孙子, 孙女, 除魔",小神通奎多斯
1802,[乱氵] 有哪些对坏人的惩罚方式让观众很舒服,动画/番剧,0.95,"魔王学院, 混血学生, 种族主义, 女主",湖心游鱼
1803,[嫂子161]大概这就是窥探了他人人生的两年路程,漫画,0.95,"嫂子, 妹妹, 大学, 餐厅打工, 扫墓",rosental
1804,好幻灭啊，三次元的丝袜其实也没那么好看,动画/番剧,0.95,"二次元, 丝袜, 幻想, 审美",74Godfather
1805,刷到说咒术回战出了续作，里面锤了那后代就是乙骨和真希的后代,动画/番剧,0.95,"咒术回战, 乙骨忧太, 真希, 后代, 葬礼",zzkyx
1806,初音快张嘴，让我充电,虚拟主播/VTuber,0.95,"初音未来, 充电",Just｜Monika
1807,这是麦当劳的御坂网络吗,动画/番剧,0.95,"御坂网络, 呆毛, 麦当劳",Respecolt
1808,[深夜氵] 患上了异世界轻改的PTSD,动画/番剧,0.95,"沉默魔女的秘密, 异世界轻改, 社恐, 圣母女主, 主角团",AUCGT
1809,联动隔壁败犬党争，if线方案的缺点到底在哪里,动画/番剧,0.95,"联动, if线, 钦定的, 作者下场, 平息党争",吃糖的亚伯神父
1810,魔兽之王剧情好看，但是克雷瓦提斯怎么没了,动画/番剧,0.95,"魔兽之王, 克雷瓦提斯, 中村悠一, 田口导演",耶耶子天下第一
1811,正儿八经的说，如果空我黑化了要揍加布，令和骑士几个会跟,动画/番剧,0.95,"Fate/Grand Order, Saber, Archer, Gilgamesh, Rider",KumikoP1
1812,gp02算不算完美的合金装备,游戏,0.95,"合金装备, 核弹, 双足, 宇宙盒",oftc3121
1788,同类作品里面，黑深残是不是更容易博得观众喜好,动画/番剧,0.95,"异世界厕纸, 魔兽王, 话术师",平贺电算二式试行机
1786,所以说宿傩有可能是本质上外星人吗,动画/番剧,0.95,"博人传, 宿傩",Aster木贞丶
1763,[破事氵]关于闪哈的结局，最近这段时间又有人把让巴上帝救人的老段子拿出来了,动画/番剧,0.95,"哈撒维, 十二把马格南, 让巴上帝救人, 劫法场",日暮南山鸟倦飞
1785,[机战Y氵]玩到第三章，挺满意的，就是原创角色太丑了,动画/番剧,0.95,"机战, 舰长, 巨乳教师, 女仆, 原创角色",神风敢死鱼
1764,这就是大家喜欢看青春校园作品的原因吗,动画/番剧,0.95,"青春校园, 作品",Just｜Monika
1765,[咒术氵]短篇续作直接定死乙骨和真希,动画/番剧,0.95,"咒术回战, 乙骨忧太, 真希, 天与",Hopevheater719
1766,这次漫威争锋的赛季CG做的好帅啊,动画/番剧,0.95,"漫威, CG, 动画",7朵棉花
1767,这画面一般是什么tag,动画/番剧,0.95,棍勇,Cerydra
1768,从牢芥的留言看，貌似并不是他主动想画这部番外篇，更像是wj编辑部为了给这位画师活干组的局,动画/番剧,0.95,"牢芥, wj编辑部, 番外篇",kophr
1769,悲报：空之轨迹重制版cv(几乎)全换,动画/番剧,0.95,"空之轨迹, 艾丝蒂尔, 约修亚, 斋贺光希, 盐山由佳",小踢
1770,日语里的多拉格和竜是不是两种生物？,动画/番剧,0.95,"多拉格, 竜",岩砂土
1772,[可动成品]真是天才啊,手办/周边,0.95,"可动, 成品, mon_202509/04/jwQ2w-1kaqK2fT1kShs-12h.jpg",witchspring
1773,[地错氵]21卷新图,漫画,0.95,贝尔受难记,graysonkun2002
1774,童年作《宇宙旗袍》补完,漫画,0.95,"宇宙旗袍, 生肉, 大决战",七四七四七
